Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
snowflake caching;70;0;0.01;55;0.41,0.41,0.64,0.41,0.41,0.41,0.29,0.29,0.23,0.29,0.11,0.11;1;23
snowflake query result cache;50;0;0.33;2630000;0.23,0.82,0.11,0.11,0.11,0.64,0.11,0.11,0.11,0.11,0.11,0.11;1;26
snowflake cache;40;0;0.01;0;0.33,0.00,0.42,0.00,0.00,0.33,0.23,0.23,0.19,0.23,0.09,0.09;;0
snowflake no cache;40;0;0.33;4550000;0.11,0.41,0.23,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;1;15
snowflake clear cache;30;0;0.33;0;0.23,0.23,0.17,0.23,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;0
cache in snowflake;20;0;0.03;0;0.00,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
cache snowflake;20;0;0.33;0;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;0
caching in snowflake;20;0;0.03;0;0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09;;0
clear cache in snowflake;20;0;0.33;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28;;0
clear cache snowflake;20;0;0.03;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
clear snowflake cache;20;0;0.33;0;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18;;0
disable cache snowflake;20;0;0.33;0;0.22,0.22,0.44,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
how to clear cache in snowflake;20;0;0.33;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28;;0
metadata cache snowflake;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
query result cache snowflake;20;0;0.33;0;0.50,0.25,0.25,0.25,0.25,1.00,0.50,0.50,0.50,0.50,0.50,0.50;;0
result cache snowflake;20;0;0.33;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
snowflake cache query;20;0;0;0;0.40,0.40,0.40,0.00,0.40,0.40,0.40,0.40,0.00,0.40,0.40,0.40;;0
snowflake cache query result;20;0;0.14;0;0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28;;0
snowflake cache types;20;0;0.01;0;0.33,0.00,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
snowflake caches are automatically invalidated if the;20;0;0.33;0;0.33,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
snowflake clear query cache;20;0;0.33;0;0.20,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40;;0
snowflake data cache;20;0;0.33;0;0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40;;0
snowflake disable cache;20;0;0.33;0;0.66,0.66,0.66,0.66,1.00,0.66,0.66,1.00,0.66,0.66,0.66,0.66;;0
snowflake disable query cache;20;0;0.33;0;0.50,0.50,1.00,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50;;0
snowflake disable result cache;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake do not use cache;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake metadata cache;20;0;0.33;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
snowflake mfa caching;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake result cache;20;0;0.02;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
snowflake run query without cache;20;0;0.33;0;0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40;;0
snowflake turn off cache;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
snowflake use_cached_result;20;0;0.33;0;1.00,0.66,0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
