Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
snowflake credit cost;170;12;0.11;1640;0.16,0.13,0.13,0.16,0.13,0.13,0.08,0.08,0.10,0.06,0.16,0.10;1,2;37
snowflake credit;90;12.53;0.04;19200000;0.23,0.33,0.23,0.80,0.80,0.66,0.42,0.33,0.52,0.33,0.33,0.42;1,2;54
snowflake cost per credit;70;7.5;0.12;3160000;0.05,0.06,0.05,0.06,0.06,0.06,0.03,0.06,0.02,0.03,0.08,0.01;1,2;27
snowflake credit pricing;70;0;0.1;17100000;0.08,0.08,0.18,0.28,0.23,0.15,0.03,0.08,0.18,0.11,0.15,0.05;2;35
snowflake credits;70;12.53;0.04;22300000;0.17,0.29,0.23,0.64,0.64,0.64,0.41,0.64,0.41,0.41,0.11,0.41;1,3;48
snowflake organization_usage views credit usage;70;0;0;0;1.00;;0
snowflake pricing per credit 2024;70;0;0;86;1.00,0.04,0.00,0.00,0.00,0.00;2,3;34
automated tool for snowflake credit monitoring;40;0;0;0;1.00;;0
snowflake credit usage by database view;40;0;0;0;1.00;;0
snowflake credits cost;40;12;0.11;8810000;0.27,0.27,0.27,0.63,0.63,0.45,0.27,0.63,0.27,0.36,1.00,0.45;1,2;41
snowflake pricing credits;40;0;0.33;0;0.22,0.22,0.22,0.33,0.55,0.55,0.22,0.33,1.00,0.77,0.55,0.22;;0
snowflake resource monitor credit quota configuration fields;40;0;0;0;0.60,1.00;;0
nova credit snowflake;30;0;0;0;1.00;;0
snowflake credits to dollars;30;0;0.02;0;0.11,0.17,0.11,0.17,0.17,0.29,0.11,0.17,0.11,0.11,0.11,0.11;;0
1 snowflake credit in dollars;20;0;0.04;0;0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
can ai manage snowflake credits automatically;20;0;0;0;1.00;;0
cost per credit snowflake;20;0;0.17;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
credit cost snowflake;20;0;0.18;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
credit price snowflake;20;0;0;0;0.00,0.28,0.28,0.28,0.28,1.00,0.28,0.00,0.28,0.28,0.28,0.00;;0
credit union snowflake az;20;1.89;0.22;0;0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11;;0
credits snowflake;20;0;0.33;0;1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00;;0
