Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
snowflake pricing;1300;6.6;0.16;21800000;0.04,0.04,0.04,0.05,0.07,0.05,0.03,0.03,0.02,0.04,0.04,0.04;2;36
introduction to snowflake pricing models;210;0;0;1060000;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.01;2;24
snowflake pricing calculator;210;4.58;0.05;1720000;0.08,0.10,0.08,0.13,0.16,0.24,0.24,0.16,0.16,0.20,0.30,0.30;2,3;25
snowflake pricing model;140;8.22;0.24;23400000;0.04,0.05,0.08,0.13,0.10,0.20,0.08,0.10,0.06,0.03,0.10,0.01;2;35
snowflake credit pricing;70;0;0.1;17100000;0.08,0.08,0.18,0.28,0.23,0.15,0.03,0.08,0.18,0.11,0.15,0.05;2;35
snowflake pricing example;70;0;0.38;14100000;0.03,0.03,0.05,0.10,0.08,0.05,0.01,0.03,0.08,0.06,0.06,0.01;2,3;32
snowflake pricing per credit 2024;70;0;0;86;1.00,0.04,0.00,0.00,0.00,0.00;2,3;34
snowflake storage pricing;70;0;0.11;168;0.03,0.07,0.12,0.12,0.10,0.07,0.12,0.15,0.04,0.05,0.04,0.07;2,3;30
snowflake storage pricing per tb per month;70;0;0;457000;0.09,0.09,0.09,1.00,0.80,0.09,0.09,0.14,0.19,0.19,0.00;2;29
azure snowflake pricing;50;0;0.11;6410000;0.18,0.27,0.27,0.63,0.81,0.81,1.00,0.63,0.81,1.00,0.45,0.36;2;33
snowflake cortex pricing;50;0;0.04;165;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.81,0.81,1.00,0.81,1.00;2,3;29
snowflake ipo pricing;50;0;0.33;0;0.00,0.00,0.00,0.00,0.77,0.77,1.00,1.00,1.00,0.00,0.77,0.77;;0
snowflake pricing guide;50;0;0.14;24900000;0.04,0.05,0.07,0.07,0.04,0.07,0.04,0.02,0.05,0.02,0.02,0.02;2;32
snowflake warehouse pricing;50;0;0.13;9260000;0.03,0.05,0.08,0.18,0.15,0.18,0.03,0.11,0.15,0.11,0.08,0.03;2,3;28
snowflake azure pricing;40;0;0.33;0;0.22,0.22,0.22,0.44,0.55,0.33,0.22,0.55,0.77,0.77,0.33,0.33;;0
snowflake gpu pricing;40;0;0.03;167;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14;2,3;30
snowflake pricing credits;40;0;0.33;0;0.22,0.22,0.22,0.33,0.55,0.55,0.22,0.33,1.00,0.77,0.55,0.22;;0
databricks vs snowflake pricing;30;9.78;0.08;4660000;0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.36,0.18,0.18,0.18,0.18;0;22
managed snowflake warehouse pricing 20 data sources;30;0;0;0;1.00,0.45,0.27,0.27,0.00,0.09,0.09,0.00,0.09,0.09;;0
