Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
snowflake data warehouse;2400;3.81;0.19;108;0.28,0.36,0.43,0.36,0.43,0.36,0.36,0.28,0.24,0.36,0.43,0.66;1;38
equus capital partners snowflake power bi data warehouse;590;0;0;669;0.08,1.00,0.36,0.01,0.04,0.00,0.00;1;17
snowflake warehouse;390;4;0.09;11400000;0.30,0.24,0.30,0.30,0.30,0.30,0.24,0.24,0.24,0.20,0.20,0.24;1;45
is snowflake a data warehouse;320;0;0.01;8210000;0.32,0.32,0.32,0.32,0.32,0.32,0.26,0.32,0.26,0.32,0.39,0.39;1;15
snowflake warehouse sizes;320;0;0.01;3280000;0.54,0.54,0.54,0.66,0.81,0.54,0.54,0.54,0.35,0.35,0.44,0.44;1;30
organizations using snowflake data warehouse;260;0;0;0;1.00,0.00;;0
data warehouse snowflake;210;3.81;0.19;109;0.13,0.10,0.24,0.08,0.08,0.16,0.05,0.06,0.16,0.13,0.03,0.10;1;31
rwd snowflake usage data warehouse;210;0;0;584000;1.00,0.04,0.00,0.00;1;14
snowflake cloud data warehouse;210;4.36;0.04;109;0.35,0.22,0.35,0.66,0.66,0.54,0.43,0.81,0.54,1.00,0.81,0.81;1;34
equus capital partners snowflake data warehouse;170;0;0;11600;0.00,0.02,0.00,1.00,0.19,0.00,0.01,0.00,0.00;1;18
equus capital partners snowflake data warehouse power bi;170;0;0;1170;0.53,1.00,0.28,0.02,0.02,0.00,0.02;1;15
snowflake create warehouse;170;0;0.01;105;0.53,0.53,0.65,0.53,0.65,0.65,0.53,0.43,0.43,0.43,0.43,0.53;1;33
snowflake data warehouse case studies;170;0;0;0;1.00,0.00;;0
create warehouse snowflake;140;0;0.02;109;0.80,0.66,0.66,0.66,0.66,0.66,0.52,0.66,0.42,0.52,0.42,0.52;1;25
snowflake warehouse cost;140;12;0.19;4100000;0.12,0.12,0.12,0.19,0.19,0.23,0.12,0.10,0.12,0.10,0.10,0.10;1,2;42
snowflake warehouse size;140;0;0.01;1020;0.43,0.43,0.43,0.43,0.65,0.53,0.28,0.28,0.15,0.06,0.21,0.21;1;23
snowflake warehouse sizing;140;0;0.01;3790000;1.00,1.00,0.21,1.00,0.00,0.34,0.28,0.34,0.34,0.53,0.34,0.34;1;26
