Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
snowflake proxy;20;0;0.05;0;0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03;;0
snowflake optimizer;10;5.51;0.2;0;0.11,0.00,0.22,0.33,0.33,0.22,0.11,0.00,0.11,0.00,0.22,0.00;;0
snowflake gateway;0;0;0;0;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;;0
database proxy;110;6.01;0.28;144000000;1.00,1.00,0.66,0.42,0.52,0.33,0.00,0.23,0.19,0.42,0.33,0.66;1;45
sql proxy;90;0;0.01;32000000;0.41,0.41,0.11,1.00,0.11,0.64,1.00,0.41,0.82,0.52,0.41,0.29;1;30
query accelerator;30;0;0.33;0;0.22,0.22,0.22,0.55,0.33,0.33,0.22,0.22,0.22,0.22,0.22,0.22;;0
data gateway;720;16.91;0.03;339000000;0.30,0.34,0.20,0.16,0.34,0.34,0.34,0.30,0.16,0.30,0.30,0.55;1;33
snowflake middleware;20;3.97;0.29;0;0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22;;0
transparent proxy;480;4;0.04;126;0.66,0.66,0.66,0.66,0.66,0.54,0.66,0.81,0.66,0.54,0.66,0.66;1;53
reverse proxy;6600;3.42;0.03;128;0.54,0.66,0.44,0.54,0.44,0.44,0.44,0.44,0.36,0.54,0.44,0.36;1;68
