Keyword;Search Volume;CPC;Competition;Number of Results;Intent;Keyword Difficulty Index
what is dbt;14800;0.5;0.17;135;1;71
what is dbt therapy;8100;0.49;0.27;130;1;69
what does dbt stand for;1600;0;0;170;1;78
what is dbt in data engineering;1000;2.2;0.2;17800000;1;33
what is dbt data;590;2.6;0.06;23900000;1;40
how does dbt work;320;0;0;123;1;62
how mwaa works with dbt;320;0;0;12900;1;25
what does dbt stands for;320;0.67;0.04;3890000;1;48
what is dbt used for;320;0.36;0.17;22000000;1;63
what skill dbt;260;0;0;122;1;21
what are dbt skills;210;0;0;142;1;50
what id dbt;210;0.5;0.17;22500000;1;73
what does dialectical mean in dbt;170;0;0;169;1;63
what is dbt in data;170;2.15;0.06;22600000;1;29
who created dbt;170;0;0;16400000;1;56
how skills dbt;140;0;0.15;21200000;1;21
what and how skills dbt;140;1.59;0.27;189;1;21
what does dbt mean;140;0;0;132;1;67
what is dbt data build tool;140;5.56;0.17;8030000;1;46
what is dbt labs;140;0;0;128;1;51
what is dbt tool;140;2.55;0.11;142;1;34
what is ro dbt;140;2;0.07;123;1;12
when was dbt created;140;0;0;129;1;52
how long is dbt therapy;110;0;0;20400000;1;38
is dbt free;110;8.19;0.12;21000000;1;11
is dbt open source;110;7.06;0.05;200;1,0;17
what does dbt labs do;110;0;0.04;189;1;51
what does dbt stand for in therapy;110;0;0;13700000;1;58
what does dbt therapy stand for;110;0;0;161;1;68
what is dbt data engineering;110;2.98;0.17;17300000;1;45
what is dbt database;110;2.6;0.06;15400000;1;38
how to do dbt;90;1.05;0.56;21300000;1;48
what does dbt do;90;0;0;135;1;70
what is dbt cloud;90;3.57;0.07;14400000;1;30
what is dbt software;90;5.1;0.08;20700000;1;43
what is dbt used for data;90;0;0.33;22300000;1;36
what is radical acceptance in dbt;90;0;0;214;1;25
how to use dbt;70;1.12;0.12;20900000;1;40
what is a dbt model;70;1.36;0.03;22700000;1;16
what is dbt core;70;0;0.08;22000000;1;28
what is dbt for;70;0;0;22100000;1;60
what is dbt fusion;70;0;0;2050000;1;25
what is the difference between cbt and dbt;70;0;0;6470000;1;25
who developed dbt;70;0;0;162;1;46
how to become a dbt therapist;50;7.78;0.61;7880000;1;13
how to do a chain analysis dbt;50;0;0.14;140;1;22
how to install dbt;50;11.6;0.15;107;1;15
is dbt an etl tool;50;0;0.04;159;1;9
is dbt down;50;0;0.33;85;2;6
is dbt evidence based;50;0;0.33;139;1;49
