Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Intent;Keyword Difficulty Index
snowflake cost optimization;260;22.23;0.77;106;0.21,0.26,0.26,0.39,0.39,0.26,0.09,0.09,0.48,0.59,0.39,0.39;1;27
reduce snowflake costs;50;20.54;0.95;10800000;0.36,0.36,0.45,1.00,1.00,0.81,0.18,0.18,0.18,0.18,0.18,0.45;1;20
snowflake caching;70;0;0.01;55;0.41,0.41,0.64,0.41,0.41,0.41,0.29,0.29,0.23,0.29,0.11,0.11;1;23
snowflake result cache;20;0;0.02;0;0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66;;0
snowflake warehouse sizing;140;0;0.01;3790000;1.00,1.00,0.21,1.00,0.00,0.34,0.28,0.34,0.34,0.53,0.34,0.34;1;26
snowflake auto suspend;20;0;0.33;0;0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40;;0
snowflake finops;40;40.93;0.63;397000;0.18,0.36,0.45,1.00,0.81,0.36,0.27,0.18,0.18,0.18,0.27,0.63;1;18
snowflake cost management;110;13.21;0.67;19200000;0.42,0.66,0.66,0.80,0.80,1.00,0.80,0.14,0.33,0.42,0.23,0.33;1;24
snowflake proxy;20;0;0.05;0;0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03;;0
snowflake pricing;1300;6.6;0.16;21800000;0.04,0.04,0.04,0.05,0.07,0.05,0.03,0.03,0.02,0.04,0.04,0.04;2;36
snowflake credits;70;12.53;0.04;22300000;0.17,0.29,0.23,0.64,0.64,0.64,0.41,0.64,0.41,0.41,0.11,0.41;1,3;48
how much does snowflake cost;70;5.71;0.23;36000000;0.64,0.50,0.50,0.50,0.50,0.28,0.14,0.21,0.78,0.35,0.64,0.21;1;37
snowflake cost per query;50;0;0.17;3710000;0.04,0.05,0.05,0.10,0.10,0.07,0.02,0.03,0.05,0.02,0.02,0.02;1;30
snowflake credit cost;170;12;0.11;1640;0.16,0.13,0.13,0.16,0.13,0.13,0.08,0.08,0.10,0.06,0.16,0.10;1,2;37
snowflake pricing model;140;8.22;0.24;23400000;0.04,0.05,0.08,0.13,0.10,0.20,0.08,0.10,0.06,0.03,0.10,0.01;2;35
is snowflake a data warehouse;320;0;0.01;8210000;0.32,0.32,0.32,0.32,0.32,0.32,0.26,0.32,0.26,0.32,0.39,0.39;1;15
dbt snowflake;1600;0;0;171;0.43,0.16,0.54,0.54,0.65,0.16,0.36,0.16,0.16,0.65,0.81,0.81;1;35
snowflake query history;480;0;0;120;1.00,0.81,0.81,1.00,1.00,1.00,0.81,0.81,0.66,0.81,0.66,0.18;1;24
