Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
rds proxy;1300;0;0;6900000;0.68,0.68,0.68,0.68,0.68,0.52,0.68,0.52,0.68,0.68,0.52,0.46;0.05;1;54
rds proxy server;590;0;0;4900000;0.17,0.72,0.59,0.59,0.88,0.59,0.17,0.17,0.88,0.72,0.48,0.48;0.1;1;55
proxysql;480;4.39;0.01;116;0.54,0.66,0.81,0.81,0.54,0.44,0.66,0.54,0.54,0.66,0.54,0.54;0.05;2;26
aws rds proxy;390;0;0;121;0.81,0.81,0.81,0.81,0.81,0.66,0.66,0.66,0.81,0.66,0.54,0.54;0.05;1;54
myxql;390;3.37;0.02;157;0.00,0.00,0.00,0.00,1.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00;0.05;2;89
paproxy;260;1.8;0.04;3560;0.76,0.76,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05;0.05;1;17
proxy database;260;3.89;0.01;159000000;0.22,0.66,0.14,0.29,1.00,0.66,0.14,0.29,0.66,0.81,0.81,1.00;0.45;1;45
amazon proxy;170;4.43;0.06;89000000;0.35,0.35,0.43,0.43,0.35,0.18,0.43,0.43,0.54,0.22,0.18,0.14;0.1;0;54
mysql proxy;170;0;0;18700000;0.65,0.53,0.65,0.65,0.65,0.53,0.65,0.53,0.42,0.53,1.00,0.80;0.1;1;55
rds proxy pricing;170;0;0;6590000;0.29,0.22,0.29,0.29,0.29,0.14,0.35,0.66,0.43,0.54,0.35,0.43;0.05;3;52
amazon rds proxy;140;0;0.01;3270000;0.26,0.34,0.53,0.42,0.42,0.53,1.00,0.80,0.80,0.80,0.53,0.42;0.05;1,2;54
aws proxy;140;6.88;0.11;32200000;0.53,0.81,0.65,0.53,0.65,0.43,0.43,0.43,0.28,0.43,0.34,0.21;0.1;1;62
aws proxy server;90;6.83;0.29;26000000;0.65,0.65,0.80,0.53,0.53,0.07,0.07,0.11,0.07,0.07,0.07,0.07;0.05;1;53
aws rds proxy pricing;90;0;0.33;104;0.07,0.07,0.34,0.19,0.34,0.26,0.26,0.65,1.00,0.65,0.26,0.19;0.1;3;68
sql proxy;90;0;0.01;32000000;0.29,0.52,0.41,0.41,0.41,0.11,1.00,0.11,0.64,1.00,0.41,0.82;0.15;1;30
sqlproxy;90;0;0.01;19600;0.23,0.33,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.23,0.33,0.52;0.05;1;26
sysql;90;3.37;0.02;161;0.00,0.00,1.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00;0.05;2;86
aws rds proxy sql server support;70;0;0;2700000;1.00;0.1;1;46
aws rds proxy support for sql server;70;0;0;128;1.00;0.1;1;46
mysql proxy server;70;0;0;18400000;0.35,0.64,0.64,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50;0.1;1;50
rds proxy aws;70;0;0.01;107;0.28,0.34,0.28,0.28,0.21,0.21,0.28,0.21,0.21,0.28,0.15,0.09;0.05;1,2;51
rds proxy price;70;0;0;484000;0.17,0.23,0.28,0.28,0.28,0.17,0.12,0.17,0.17,0.17,0.12,0.12;0.1;2;49
does aws rds proxy support sql server;50;0;0;2700000;1.00;0.1;1;50
postgresql proxy;50;4.31;0.05;17500000;0.64,0.50,0.50,0.50,0.50,0.50,0.64,0.35,0.14,0.14,0.14,0.14;0.05;1;48
proxy server on aws;50;6.83;0.29;108;0.42,0.52,0.33,0.33,0.33,0.09,0.09,0.09,0.09,0.09,0.09,0.09;0.05;1;43
proxy sql;50;4.39;0.01;125;0.06,0.00,0.54,0.10,0.00,0.10,0.00,0.14,0.14,0.00,0.00,0.10;0.05;1,2;31
rds proxy cost;50;0;0.01;1670000;0.15,0.15,0.19,0.15,0.19,0.11,0.19,0.15,0.19,0.34,0.15,0.15;0.05;1;54
what is rds proxy;50;0;0.33;118;0.52,0.52,0.41,0.41,0.29,0.11,0.17,0.11,0.11,1.00,0.11,0.11;0.15;1;57
amazon rds proxy documentation;40;0;0.33;2520000;0.14,0.14,0.14,0.14,0.21,0.21,0.50,0.50,0.35,0.35,0.35,0.50;0.1;2;49
amazon relational database service proxy;40;0;0.01;2880000;0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.64;0.05;1;54
aws rds db connections;40;0;0.05;114;0.18,0.18,1.00,0.18,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.18;0.05;1;36
aws rds proxy engine_family sql server;40;0;0;280;1.00;0.1;1;48
aws rds proxy engine_family sqlserver;40;0;0;97;1.00;0.05;1;44
aws rds proxy for sql server;40;0;0;131;1.00;0.1;1;43
aws rds proxy sql server read replicas;40;0;0;75700;1.00;0.05;1;38
aws rds proxy sql server read write splitting;40;0;0;264000;1.00;0.05;1;26
aws_db_proxy;40;0;0.33;48;0.22,0.22,0.22,0.33,0.44,0.44,0.55,0.44,0.55,0.55,0.44,0.33;0.1;1,2;9
postgres proxy;40;4.31;0.05;109;1.00,1.00,1.00,0.71,0.00,0.71,0.71,0.57,0.00,0.14,0.00,0.42;0.05;1;55
rds db connections;40;0;0.02;136;0.55,0.55,0.33,0.77,0.77,0.77,0.77,0.77,0.22,0.22,0.22,0.22;0.05;1;30
ymysql;40;3.37;0.02;82300000;0.71,0.71,0.71,0.71,0.57,0.42,0.71,0.71,0.71,1.00,0.00,0.00;0.05;2,0;79
