Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
data warehouse design;3600;3.84;0.3;133;0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36,1.00,0.66;0.05;1;18
snowflake database;2900;4.18;0.31;105;0.66,0.66,0.66,0.66,0.53,0.44,0.53,0.44,0.29,0.35,0.44,0.29;0.05;1,2;48
snowflake data warehouse;2400;3.81;0.19;108;0.24,0.24,0.36,0.28,0.36,0.43,0.36,0.43,0.36,0.36,0.28,0.24;0.1;1;38
snowflake software;1600;3.37;0.35;43500000;1.00,1.00,0.84,0.84,0.84,0.84,0.84,0.68,0.68,0.68,0.37,0.68;0.1;1,2;76
what does snowflake do;1600;1.47;0.07;90400000;0.55,0.55,0.44,0.44,0.65,0.55,0.44,0.65,0.55,0.65,0.44,0.55;0.1;1;52
snowflake define;1300;0;0;24700000;0.20,0.82,0.34,0.82,0.30,0.82,0.34,0.44,0.55,0.44,0.44,0.55;0.05;1;72
data warehouses;1000;4.87;0.15;83600000;0.20,0.24,0.16,0.55,0.34,0.65,0.34,0.44,0.30,0.30,0.13,0.20;0.05;1;61
define snowflake;1000;0;0;17600000;0.66,0.08,0.16,0.03,0.29,0.04,0.35,0.08,0.16,0.18,0.03,0.04;0.05;1;54
snowflake sql;1000;3.93;0.22;125;0.55,0.81,0.81,0.62,0.62,0.81,0.55,0.55,0.62,0.62,0.62,0.45;0.05;1;28
what is snowflake database;1000;1.9;0.17;25000000;0.76,0.76,1.00,0.76,1.00,0.76,1.00,0.76,0.76,1.00,1.00,0.76;0.1;1;40
data warehouse architecture;880;4.53;0.2;117000000;0.55,0.45,0.76,0.55,0.76,0.55,1.00,0.76,0.67,0.67,0.67,0.76;0.05;1,0;27
snowflake wiki;880;0;0;103;1.00,0.88,0.72,0.72,0.88,0.88,0.72,1.00,0.72,0.59,0.59,1.00;0.05;1;62
cloud data platform;720;7.88;0.08;857000000;0.48,0.48,0.72,0.88,1.00,0.88,0.59,0.72,0.88,0.88,0.88,0.32;0.05;1;36
data lake tools;720;8.63;0.43;144;0.07,0.07,0.08,0.04,0.08,0.08,1.00,0.24,0.24,0.27,0.01,0.01;0.05;1;24
snowflake db;720;3.79;0.27;31700000;0.37,0.31,0.52,0.37,0.37,0.37,0.37,0.31,0.31,0.46,0.31,0.20;0.05;1;62
snowflake tool;720;0.36;1;50700000;0.18,0.10,0.07,0.05,0.05,0.07,0.07,0.02,0.07,0.18,0.24,0.35;0.1;1;11
sql snowflake;720;3.93;0.22;123;0.36,0.67,0.55,0.67,0.67,0.45,0.45,0.76,0.55,0.36,0.45,0.30;0.05;1;29
snowflake data cloud;480;5.46;0.11;42300000;0.20,0.25,0.31,0.20,0.20,0.25,0.20,0.13,0.37,0.20,0.16,0.25;0.05;1,2;59
what is snowflake used for;480;1.58;0.1;140;1.00,0.81,0.81,0.81,0.81,0.66,1.00,0.66,0.66,1.00,0.66,0.81;0.1;1;26
snowflake aws;390;4.12;0.18;21100000;0.36,0.36,0.45,0.36,0.30,0.24,0.24,0.24,0.24,0.55,0.24,0.24;0.05;1;42
snowflake cloud data platform;390;5.17;0.1;3570;1.00,0.01,0.03,0.01,0.03,0.04,0.05,0.05,0.03,0.03,0.02,0.05;0.1;1;64
snowflake data icon;390;0;0;48400000;0.66,0.66,0.66,1.00,0.81,0.66,0.66,0.66,0.66,0.66,0.44,0.35;0.05;1;27
snowflake data lake;390;4;0.31;9620000;0.39,0.39,0.48,0.48,0.39,0.48,0.48,0.48,0.39,0.32,0.26,0.26;0.05;1;24
snowflake database icon;390;0;0;17000000;0.66,0.66,0.66,0.81,0.81,0.66,1.00,0.81,0.81,0.66,0.54,0.35;0.05;1;25
snowflake dwh;390;3.81;0.19;5430000;0.00,0.00,0.00,0.01,0.01,0.16,1.00,0.08,0.13,0.16,0.01,0.13;0.15;1;33
snowflake snow;390;4.07;0.13;47400000;1.00,0.55,0.05,0.08,0.08,0.08,0.10,0.30,0.30,0.36,0.30,0.55;0.05;1;80
warehouse database;390;4.87;0.15;671000000;0.01,0.36,0.01,0.10,0.01,0.02,0.00,0.01,0.01,0.02,0.05,0.01;0.05;1;57
and snowflake;320;0;0.35;107;0.36,0.13,0.16,0.16,0.16,0.08,0.05,0.10,0.24,0.24,0.45,1.00;0.05;1,2;35
edw meaning;320;0;0;2130000;0.66,0.66,0.81,0.81,0.66,0.66,0.66,0.54,0.81,0.54,0.43,0.43;0.05;1;11
enterprise data warehouse best practices;320;0;0;33100000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.05;0;18
snowflake data platform;320;4.41;0.11;36600000;0.26,0.09,0.26,0.21,0.21,0.39,0.48,0.39,0.26,0.72,0.21,0.32;0.05;1;53
snowflake docs;320;2.45;0.01;13500000;0.81,0.54,0.54,0.81,0.81,0.66,0.81,0.66,0.66,0.81,0.54,0.54;0.1;2;29
snowflake platform;320;4.26;0.35;55500000;0.32,0.32,0.48,0.26,0.39,0.32,0.48,0.32,0.32,0.32,0.21,0.26;0.1;1;68
snowflake pro;320;1.16;0.31;26100000;0.01,0.01,0.08,0.13,0.16,0.16,0.03,0.24,0.06,0.36,0.76,1.00;0.05;1;25
snowflake snowflake;320;0;0.01;104000000;0.24,0.13,0.08,0.06,0.10,0.08,0.06,0.08,0.08,0.16,0.45,1.00;0.05;1,3;37
building a data warehouse;260;6.36;0.28;109;0.08,0.08,0.13,0.10,0.10,0.13,0.16,0.20,0.13,0.04,0.05,0.10;0.05;1;16
security data lake;260;19.09;0.24;664000000;0.43,0.43,0.53,0.43,0.82,0.66,1.00,1.00,0.82,0.82,0.17,0.82;0.05;1;22
snowflake pdf;260;6.2;0.01;33200000;0.24,0.10,0.08,0.10,0.10,0.08,0.16,0.06,0.08,0.16,0.55,0.76;0.05;1;27
snowflake quickstart;260;6.31;0.07;178;0.29,0.29,0.29,0.15,0.44,0.44,0.19,0.29,0.36,0.54,0.66,0.29;0.05;2,0;16
data warehouse snowflake;210;3.81;0.19;109;0.16,0.02,0.20,0.13,0.10,0.24,0.08,0.08,0.16,0.05,0.06,0.16;0.05;1;31
