Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
data warehouse design;3600;3.84;0.3;133;0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.36,1.00,0.66;0.05;1;18
snowflake data warehouse;2400;3.81;0.19;108;0.24,0.24,0.36,0.28,0.36,0.43,0.36,0.43,0.36,0.36,0.28,0.24;0.1;1;38
data warehouses;1000;4.87;0.15;83600000;0.20,0.24,0.16,0.55,0.34,0.65,0.34,0.44,0.30,0.30,0.13,0.20;0.05;1;61
data warehouse architecture;880;4.53;0.2;117000000;0.55,0.45,0.76,0.55,0.76,0.55,1.00,0.76,0.67,0.67,0.67,0.76;0.05;1,0;27
snowflake architecture;720;4.63;0.2;29800000;0.76,0.67,0.76,0.76,0.55,0.67,0.67,0.45,0.67,0.45,0.45,0.45;0.05;1;33
snowflake security;480;8.51;0.17;42900000;0.21,0.32,0.48,0.48,0.88,0.59,0.59,0.39,0.72,0.21,0.48,0.48;0.15;2,3;49
snowflake dwh;390;3.81;0.19;5430000;0.00,0.00,0.00,0.01,0.01,0.16,1.00,0.08,0.13,0.16,0.01,0.13;0.05;1;33
warehouse database;390;4.87;0.15;671000000;0.01,0.36,0.01,0.10,0.01,0.02,0.00,0.01,0.01,0.02,0.05,0.01;0.05;1;57
edw meaning;320;0;0;2130000;0.66,0.66,0.81,0.81,0.66,0.66,0.66,0.54,0.81,0.54,0.43,0.43;0.05;1;11
enterprise data warehouse best practices;320;0;0;33100000;0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.05;0;18
building a data warehouse;260;6.36;0.28;109;0.08,0.08,0.13,0.10,0.10,0.13,0.16,0.20,0.13,0.04,0.05,0.10;0.05;1;16
snowflake etl;260;6;0.43;4380000;0.54,0.66,0.54,0.44,0.23,0.66,0.44,0.44,0.66,0.35,0.23,0.23;0.15;1;26
data warehouse snowflake;210;3.81;0.19;109;0.16,0.02,0.20,0.13,0.10,0.24,0.08,0.08,0.16,0.05,0.06,0.16;0.1;1;31
edw data model;210;4.35;0.29;162;0.53,0.81,1.00,0.81,1.00,0.81,0.65,0.43,0.65,0.43,0.28,0.21;0.05;1;16
rwd snowflake usage data warehouse;210;0;0;584000;1.00;0.05;1;14
snowflake cloud data warehouse;210;4.36;0.04;109;0.05,0.05,0.28,0.43,0.28,0.43,0.82,0.82,0.66,0.53,1.00,0.66;0.05;1;34
snowflake data warehousing;210;3.81;0.19;9400000;0.66,0.35,0.35,0.28,0.35,0.81,0.23,0.15,0.44,0.15,0.35,0.18;0.1;1;43
snowflake edw;210;3.81;0.19;3500000;1.00,0.16,0.16,0.16,0.13,0.03,0.03,0.00,0.00,0.01,0.30,0.00;0.1;1;34
snowflake security best practices;210;12.87;0.11;10300000;0.53,0.28,0.65,0.43,0.43,0.43,0.81,0.65,0.81,0.81,0.81,1.00;0.15;0;23
data warehouse architecture diagram;170;4;0.17;27700000;0.18,0.15,0.18,0.44,1.00,0.18,0.28,0.28,0.28,0.23,0.23,0.08;0.05;1;30
data warehousing snowflake;170;3.81;0.19;9630000;0.07,0.42,1.00,0.42,0.80,1.00,0.65,0.53,1.00,0.65,0.42,0.42;0.05;1;32
dataware concepts;170;2.87;0.51;127;0.05,0.05,0.05,0.35,0.82,1.00,0.35,0.35,0.66,0.53,0.66,0.35;0.05;1;29
snowflake cyber security;170;10.01;0.35;3990000;0.15,0.43,1.00,0.65,0.34,0.21,0.34,0.53,0.81,0.43,0.43,0.34;0.05;3;30
snowflake data governance;170;7.29;0.43;13600000;0.43,0.28,0.35,0.35,0.28,0.53,1.00,0.82,0.43,0.28,0.17,0.17;0.05;1;26
