Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
log snowflake;210;0;0;108;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;0.05;2;36
snowflake case statement;170;0;0;101;0.35,0.53,0.53,0.53,0.35,0.43,0.43,0.53,0.43,0.35,0.43,0.28;0.05;1;13
snowflake numeric value is not recognized;140;0;0;102;0.53,0.43,0.43,0.43,0.43,0.28,0.43,0.43,0.43,0.34,0.28,0.21;0.05;1;16
snowflake update table;110;0;0;106;0.82,0.82,1.00,0.64,0.82,0.64,0.52,0.64,0.64,0.82,0.64,0.64;0.05;2;17
set snowflake;90;0;0.45;167;0.41,0.64,0.64,0.52,0.52,0.41,0.41,0.41,0.41,0.41,0.52,0.52;0.05;2;27
snowflake set;90;0;0.45;73900000;0.64,0.78,0.78,0.64,0.64,0.50,0.64,0.64,0.50,0.64,0.64,0.78;0.05;2,3;28
add column snowflake;70;0;0.33;7080000;0.52,0.52,0.64,0.52,0.41,0.41,0.41,0.29,0.29,0.29,0.29,0.29;0.05;1;23
snowflake list;70;0;0;108;0.63,0.63,1.00,0.81,0.63,0.81,0.81,0.81,0.63,0.63,0.45,0.45;0.05;2,3;27
update table snowflake;70;0;0.33;108;0.64,0.64,0.64,0.78,0.64,0.50,0.14,0.14,0.64,0.14,0.14,0.50;0.05;1;18
snowflake missing column specification;50;0;0.33;50;0.52,0.41,0.52,0.41,0.29,0.23,0.41,0.23,0.17,0.11,0.17,0.11;0.05;1;13
snowflake query result cache;50;0;0.33;2630000;0.23,0.52,0.23,0.23,0.82,0.11,0.11,0.11,0.64,0.11,0.11,0.11;0.4;1;26
snowflake no cache;40;0;0.33;4550000;0.23,0.82,0.11,0.11,0.41,0.23,0.11,0.11,0.11,0.11,0.11,0.11;0.4;1;15
which cache caches the data used by sql queries;40;0;0.33;1690000;0.18,0.36,0.63,1.00,0.00,0.36,0.18,0.18,1.00,0.18,0.18,0.18;0.15;1;22
