Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
snowflake data warehouse;2400;3.81;0.19;108;0.24,0.24,0.36,0.28,0.36,0.43,0.36,0.43,0.36,0.36,0.28,0.24;0.05;1;38
snowflake pricing;1300;6.6;0.16;21800000;0.16,0.10,0.07,0.04,0.04,0.04,0.05,0.07,0.05,0.03,0.03,0.02;0.3;2;36
snowflake db;720;3.79;0.27;31700000;0.37,0.31,0.52,0.37,0.37,0.37,0.37,0.31,0.31,0.46,0.31,0.20;0.05;1;62
snowflake scale up;720;0;0.04;108;0.00,0.18,0.35,0.18,0.18,0.35,0.18,0.00,0.18,0.00,0.00,0.00;0.05;1;25
snowflake price;480;2.95;0.01;39600000;0.20,0.13,0.11,0.20,0.24,0.16,0.13,0.24,0.20,0.16,0.11,0.16;0.15;2;40
snowflake vector file;480;1.01;1;14900000;0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.31,0.52,1.00,1.00;0.05;1;18
snowflake cost;390;6.69;0.19;166;0.20,0.20,0.20,0.20,0.20,0.20,0.46,0.20,0.16,0.20,0.13,0.13;0.25;1,2;40
snowflake cost management tool brands;390;0;0;7920000;0.52,0.52,1.00,0.20,0.00,0.01,0.02,0.04,0.04,0.02,0.03,0.02;0.1;1;11
snowflake warehouse;390;4;0.09;11400000;0.30,0.30,0.30,0.30,0.24,0.30,0.30,0.30,0.30,0.24,0.24,0.24;0.05;1;45
warehouse number 2;390;0;0.03;702000000;0.23,0.36,0.44,0.67,0.44,0.44,0.67,1.00,0.36,0.44,0.36,0.36;0.05;1,3;27
snow snowflake;320;4.07;0.13;40700000;1.00,0.20,0.13,0.00,0.00,0.20,0.00,0.03,0.10,0.24,0.30,0.55;0.05;1;51
snowflake warehouse sizes;320;0;0.01;3280000;0.66,0.66,0.66,0.54,0.54,0.54,0.66,0.81,0.54,0.54,0.54,0.35;0.05;1;30
azure document intelligence pricing;260;8.01;0.12;119;0.65,0.65,0.81,0.81,1.00,1.00,0.81,1.00,0.34,0.81,0.81,0.53;0.05;3;37
cost per credit;260;4.69;0.05;1120000000;0.66,0.66,0.53,0.53,0.66,0.35,0.66,1.00,0.66,0.43,0.66,0.53;0.05;1;53
snowflake editions;260;0;0.01;1990000;0.66,0.43,0.66,0.66,0.54,0.66,0.66,0.66,0.43,0.54,0.35,0.35;0.2;1,3;50
snowflake storage cost;260;12;0.12;9670000;0.16,0.16,0.20,0.20,0.16,0.16,0.30,0.24,0.30,0.16,0.13,0.10;0.3;1,3;34
data warehouse snowflake;210;3.81;0.19;109;0.16,0.02,0.20,0.13,0.10,0.24,0.08,0.08,0.16,0.05,0.06,0.16;0.05;1;31
financial services cloud pricing;210;37.82;0.28;123;0.35,0.35,0.43,0.35,0.35,0.35,0.54,0.54,0.54,0.43,1.00,0.54;0.05;2,3;33
introduction to snowflake pricing models;210;0;0;1060000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01;0.3;2;24
large warehouse;210;2.11;0.12;559000000;1.00,1.00,1.00,0.80,1.00,0.65,1.00,0.80,0.65,0.53,0.80,0.80;0.05;1;5
rwd snowflake usage data warehouse;210;0;0;584000;1.00;0.05;1;14
snowflake costs;210;6.69;0.19;15100000;0.18,0.44,0.44,0.18,0.23,0.35,0.54,0.35,0.23,0.54,0.15,0.35;0.35;1,2;37
snowflake pricing calculator;210;4.58;0.05;1720000;0.08,0.08,0.08,0.08,0.10,0.08,0.13,0.16,0.24,0.24,0.16,0.16;0.3;2,3;25
data warehousing snowflake;170;3.81;0.19;9630000;0.07,0.42,1.00,0.42,0.80,1.00,0.65,0.53,1.00,0.65,0.42,0.42;0.05;1;32
snowflake cloud services;170;5.29;0.41;42100000;0.28,0.23,0.44,0.35,0.28,0.44,0.28,0.54,0.23,0.15,0.11,0.18;0.1;1;50
snowflake create warehouse;170;0;0.01;105;0.53,0.65,0.65,0.53,0.53,0.65,0.53,0.65,0.65,0.53,0.43,0.43;0.05;1;33
snowflake credit cost;170;12;0.11;1640;0.13,0.13,0.16,0.16,0.13,0.13,0.16,0.13,0.13,0.08,0.08,0.10;0.4;1,2;37
snowflake datawarehouse;170;3.81;0.19;9020000;1.00,0.26,0.04,0.00,0.04,0.05,0.32,0.03,0.17,0.00,0.17,0.01;0.05;1;34
snowflake regions;170;0;0;5070000;0.80,0.65,0.80,0.65,0.65,0.65,0.80,0.65,0.80,0.80,0.53,0.53;0.05;1,2;25
warehouse of speed;170;0;0.03;196000000;0.34,0.65,1.00,1.00,0.65,0.80,0.65,1.00,0.65,0.42,0.80,0.53;0.05;2;33
warehouse-x;170;0;0;69;0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00;0.05;1;28
is snowflake free;140;11.79;0.11;101000000;0.07,1.00,0.80,0.80,0.42,0.65,0.42,0.34,0.34,0.34,0.26,0.34;0.25;1;52
snowflake account usage;140;0;0.02;13700000;0.65,0.53,0.42,0.80,0.53,0.65,0.80,0.42,0.53,0.65,0.53,0.53;0.05;1,2;15
snowflake cost management tools comparison;140;0;0;8680000;0.06,0.35,1.00,0.14,0.81,0.04,0.14,0.14,0.18,0.10,0.14,0.10;0.05;0;1
snowflake cost optimization solutions;140;0;0;113;0.23,1.00,1.00,0.80,0.66,0.14;0.05;1;24
snowflake pricing model;140;8.22;0.24;23400000;0.05,0.02,0.03,0.04,0.05,0.08,0.13,0.10,0.20,0.08,0.10,0.06;0.35;2;35
snowflake storage;140;5.87;0.29;64800000;1.00,0.15,0.15,0.12,0.15,0.15,0.19,0.12,0.09,0.09,0.09,0.09;0.05;2,3;34
snowflake storage costs;140;12;0.12;5630000;0.42,0.34,0.42,0.15,0.53,0.80,1.00,1.00,0.80,0.26,0.26,0.42;0.2;1,3;28
snowflake warehouse cost;140;12;0.19;4100000;0.12,0.12,0.12,0.12,0.12,0.12,0.19,0.19,0.23,0.12,0.10,0.12;0.5;1,2;42
snowflake warehouse size;140;0;0.01;1020;0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.65,0.53,0.28,0.28,0.15;0.05;1;23
snowflake warehouse sizing;140;0;0.01;3790000;0.34,0.12,0.12,1.00,1.00,0.21,1.00,0.00,0.34,0.28,0.34,0.34;0.05;1;26
warehouse options;140;5.25;0.07;981000000;0.66,0.66,0.66,1.00,0.80,0.66,0.80,0.33,0.52,0.52,0.52,0.52;0.05;2;34
how to use streamlit;110;1.51;0.09;19700;0.19,0.09,0.19,0.80,0.14,0.80,0.52,0.14,1.00,0.66,0.66,0.80;0.05;1;30
rwd snowflake usage data warehousing;110;0;0;5490000;1.00;0.1;1;18
snowflake adaptive warehouse;110;0;0.03;299000;0.04,0.08,0.35,0.22,0.18,1.00,0.43,0.29,0.08,0.08,0.14,0.14;0.1;1;19
snowflake consumption table;110;26.65;0.09;157;0.11,0.11,0.64,1.00,0.52,0.64,0.64,0.82,1.00,0.82,0.64,0.64;0.5;1,3;43
snowflake cost calculator;110;4.17;0.19;2150000;0.12,0.12,0.15,0.15,0.12,0.12,0.15,0.15,0.12,0.12,0.10,0.10;0.25;2,3;30
snowflake cost optimization companies;110;0;0;5490000;0.52,1.00,0.82,0.64,0.41,0.17;0.05;0;0
snowflake features;110;4.27;0.14;44800000;0.26,0.34,0.42,0.26,1.00,0.80,0.53,0.80,0.26,0.26,0.19,0.26;0.05;1;34
snowflake free;110;12.86;0.06;108;0.23,0.15,0.15,0.12,0.15,0.15,0.23,0.15,0.15,0.15,0.05,0.15;0.05;1,3;35
