Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
snowflake best practices;170;7.72;0.24;109;0.42,0.42,0.53,0.42,0.65,0.42,0.80,1.00,0.42,1.00,1.00,0.65;0.05;0;21
snowflake cost optimization solutions;140;0;0;113;0.23,1.00,1.00,0.80,0.66,0.14;0.05;1;24
snowflake optimization;110;11.34;0.4;18600000;0.06,0.21,0.21,0.34,0.53,0.21,0.53,0.53,0.34,0.15,0.21,0.43;0.3;1;28
snowflake query optimization;110;7.7;0.23;13500000;0.52,0.41,0.64,0.64,0.64,0.64,1.00,1.00,1.00,0.52,0.41,0.41;0.5;1;23
snowflake search optimization;110;7.58;0.05;124;0.53,0.42,0.42,0.53,0.42,0.42,0.53,0.53,0.42,0.53,0.34,0.34;0.1;1;14
seemore data snowflake query optimization;90;0;0;8050000;1.00,1.00,1.00,1.00,0.81,0.36,0.18;0.25;1;21
snowflake queuing overload;90;0;0;2080;0.81,0.81,1.00,0.63,0.63,0.63,0.81,0.63,1.00,0.63,0.45,0.36;0.1;1;19
best snowflake cost optimization platforms;70;0;0;121;0.64,1.00,0.78,0.28,0.21,0.14;0.05;0;9
best snowflake query optimization platforms;70;0;0;133;0.52,1.00,0.41,0.17,0.11,0.05;0.1;0;5
optimizing performance;70;1.07;0.03;154000000;0.52,0.00,0.05,0.64,0.05,0.23,0.64,0.17,1.00,0.41,0.29,0.17;0.05;1;38
performance optimierung;70;0;0.33;16700000;0.14,0.35,1.00,1.00,1.00,1.00,0.28,0.21,0.78,0.28,0.21,0.28;0.05;1;27
query performance;70;0;0.03;324000000;0.64,0.50,0.28,0.35,0.28,0.07,0.64,0.78,0.64,0.14,1.00,0.14;0.05;1;36
search optimization snowflake;70;22.24;0.09;124;0.42,0.33,0.33,0.33,0.33,0.42,0.33,0.33,0.33,0.42,0.23,0.23;0.05;1;20
snowflake queries;70;4.18;0.04;7520000;0.41,0.23,0.05,0.05,0.23,0.41,0.29,0.23,0.82,0.64,0.29,0.64;0.05;1;30
snowflake query performance;70;0;0.12;16100000;0.17,0.11,0.17,0.29,0.29,0.29,0.82,0.82,0.52,0.11,0.11,0.41;0.45;1;26
data warehouse query optimization techniques;50;0;0;4260000;0.09,0.18,1.00,0.09,0.81;0.05;1;12
queuing overload snowflake;50;0;0.33;2740;0.19,0.26,0.34,0.26,0.26,0.26,0.34,0.19,0.07,0.07,0.07,0.07;0.05;1;22
snowflake query optimization companies;50;0;0;16500000;0.18,0.63,1.00,0.63,0.45,0.09;0.2;1;0
snowflake query profile documentation;50;0;0;5460000;0.00,0.07,0.14,1.00,1.00,0.35,0.35,0.14;0.05;1;19
leading snowflake query optimization tools;40;0;0;20500000;0.28,1.00,1.00,0.57,0.57,0.00;0.25;1;4
query optimization in snowflake;40;7.92;0.3;103;0.11,0.11,0.11,0.11,0.11,0.11,0.17,0.17,1.00,0.23,0.23,0.17;0.45;1;27
query performance insights;40;0;0.33;129;0.64,0.28,0.14,1.00,0.64,0.14,0.14,0.14,0.14,0.14,0.14,0.14;0.1;1;32
snowflake performance;40;8.56;0.17;49900000;0.14,0.09,0.09,0.09,0.09,0.19,0.33,0.42,0.19,0.09,0.09,0.14;0.4;1;27
snowflake query insights expensive query detection;40;0;0;541000;1.00;0.1;1;12
snowflake query insights features benefits;40;0;0;678000;0.40,1.00;0.1;1;23
snowflake query insights tutorial;40;0;0;2380000;0.14,1.00;0.1;1;27
snowflake query optimizer;40;7.7;0.23;2050000;0.18,0.09,0.18,0.18,0.27,0.36,1.00,1.00,0.63,0.36,0.00,0.27;0.4;1;23
snowflake query plan;40;0;0.33;5260000;0.15,0.19,0.15,0.19,0.19,0.15,0.15,0.15,0.26,0.15,0.11,0.11;0.05;1,2;21
performance optimization in snowflake;30;5.83;0.43;15300000;0.40,0.40,0.40,0.40,0.40,0.40,0.80,1.00,0.80,0.40,0.60,0.80;0.6;1;16
snowflake performance optimization;30;7.78;0.27;107;0.28,0.28,0.28,0.28,0.28,0.28,0.57,1.00,0.57,0.42,0.28,0.28;0.55;1;21
snowflake query performance tuning;30;3.94;0.2;106;0.09,0.09,0.09,0.09,0.14,0.09,0.23,0.23,0.09,0.09,0.09,0.19;0.65;1;26
