Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
snowflake db;720;3.79;0.27;31700000;0.37,0.31,0.52,0.37,0.37,0.37,0.37,0.31,0.31,0.46,0.31,0.20;0.05;1;62
snowflake price;480;2.95;0.01;39600000;0.20,0.13,0.11,0.20,0.24,0.16,0.13,0.24,0.20,0.16,0.11,0.16;0.1;2;40
snowflake vector file;480;1.01;1;14900000;0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.31,0.52,1.00,1.00;0.05;1;18
snowflake cost;390;6.69;0.19;166;0.20,0.20,0.20,0.20,0.20,0.20,0.46,0.20,0.16,0.20,0.13,0.13;0.5;1,2;40
snowflake cost management tool brands;390;0;0;7920000;0.52,0.52,1.00,0.20,0.00,0.01,0.02,0.04,0.04,0.02,0.03,0.02;0.1;1;11
snow snowflake;320;4.07;0.13;40700000;1.00,0.20,0.13,0.00,0.00,0.20,0.00,0.03,0.10,0.24,0.30,0.55;0.05;1;51
azure document intelligence pricing;260;8.01;0.12;119;0.65,0.65,0.81,0.81,1.00,1.00,0.81,1.00,0.34,0.81,0.81,0.53;0.05;3;37
cost per credit;260;4.69;0.05;1120000000;0.66,0.66,0.53,0.53,0.66,0.35,0.66,1.00,0.66,0.43,0.66,0.53;0.05;1;53
snowflake editions;260;0;0.01;1990000;0.66,0.43,0.66,0.66,0.54,0.66,0.66,0.66,0.43,0.54,0.35,0.35;0.2;1,3;50
snowflake storage cost;260;12;0.12;9670000;0.16,0.16,0.20,0.20,0.16,0.16,0.30,0.24,0.30,0.16,0.13,0.10;0.4;1,3;34
financial services cloud pricing;210;37.82;0.28;123;0.35,0.35,0.43,0.35,0.35,0.35,0.54,0.54,0.54,0.43,1.00,0.54;0.05;2,3;33
introduction to snowflake pricing models;210;0;0;1060000;1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01;0.65;2;24
snowflake costs;210;6.69;0.19;15100000;0.18,0.44,0.44,0.18,0.23,0.35,0.54,0.35,0.23,0.54,0.15,0.35;0.7;1,2;37
snowflake pricing calculator;210;4.58;0.05;1720000;0.08,0.08,0.08,0.08,0.10,0.08,0.13,0.16,0.24,0.24,0.16,0.16;0.4;2,3;25
snowflake cloud services;170;5.29;0.41;42100000;0.28,0.23,0.44,0.35,0.28,0.44,0.28,0.54,0.23,0.15,0.11,0.18;0.1;1;50
snowflake credit cost;170;12;0.11;1640;0.13,0.13,0.16,0.16,0.13,0.13,0.16,0.13,0.13,0.08,0.08,0.10;0.6;1,2;37
is snowflake free;140;11.79;0.11;101000000;0.07,1.00,0.80,0.80,0.42,0.65,0.42,0.34,0.34,0.34,0.26,0.34;0.4;1;52
snowflake account usage;140;0;0.02;13700000;0.65,0.53,0.42,0.80,0.53,0.65,0.80,0.42,0.53,0.65,0.53,0.53;0.05;1,2;15
snowflake cost management tools comparison;140;0;0;8680000;0.06,0.35,1.00,0.14,0.81,0.04,0.14,0.14,0.18,0.10,0.14,0.10;0.05;0;1
snowflake cost optimization solutions;140;0;0;113;0.23,1.00,1.00,0.80,0.66,0.14;0.1;1;24
snowflake pricing model;140;8.22;0.24;23400000;0.05,0.02,0.03,0.04,0.05,0.08,0.13,0.10,0.20,0.08,0.10,0.06;0.7;2;35
snowflake storage;140;5.87;0.29;64800000;1.00,0.15,0.15,0.12,0.15,0.15,0.19,0.12,0.09,0.09,0.09,0.09;0.05;2,3;34
snowflake storage costs;140;12;0.12;5630000;0.42,0.34,0.42,0.15,0.53,0.80,1.00,1.00,0.80,0.26,0.26,0.42;0.2;1,3;28
snowflake warehouse cost;140;12;0.19;4100000;0.12,0.12,0.12,0.12,0.12,0.12,0.19,0.19,0.23,0.12,0.10,0.12;0.45;1,2;42
how to use streamlit;110;1.51;0.09;19700;0.19,0.09,0.19,0.80,0.14,0.80,0.52,0.14,1.00,0.66,0.66,0.80;0.05;1;30
snowflake consumption table;110;26.65;0.09;157;0.11,0.11,0.64,1.00,0.52,0.64,0.64,0.82,1.00,0.82,0.64,0.64;0.4;1,3;43
snowflake cost calculator;110;4.17;0.19;2150000;0.12,0.12,0.15,0.15,0.12,0.12,0.15,0.15,0.12,0.12,0.10,0.10;0.35;2,3;30
snowflake cost management tools brands;110;0;0;18100000;0.05,0.35,1.00,0.11,0.00,0.00,0.05,0.08,0.08,0.06,0.08,0.11;0.05;1;10
snowflake cost optimization companies;110;0;0;5490000;0.52,1.00,0.82,0.64,0.41,0.17;0.05;0;0
snowflake features;110;4.27;0.14;44800000;0.26,0.34,0.42,0.26,1.00,0.80,0.53,0.80,0.26,0.26,0.19,0.26;0.05;1;34
snowflake free;110;12.86;0.06;108;0.23,0.15,0.15,0.12,0.15,0.15,0.23,0.15,0.15,0.15,0.05,0.15;0.05;1,3;35
snowflake free tier;110;11.2;0.2;166;0.42,0.34,0.42,0.34,0.42,0.65,0.42,0.53,0.42,0.42,0.34,0.42;0.5;1;31
snowflake usage;110;5.02;0.06;109;0.64,0.82,0.82,0.82,0.52,0.82,0.64,0.64,1.00,0.64,0.41,0.41;0.05;1,2;26
data warehouse cost;90;7.6;0.45;315000000;0.15,0.34,0.19,0.26,0.07,0.11,0.53,0.42,0.34,1.00,0.53,0.42;0.1;1;13
free snowflake vector;90;0.65;0.15;21200000;0.08,0.06,0.05,0.03,0.03,0.03,0.03,0.03,0.05,0.28,0.54,0.66;0.05;1;20
is snowflake a buy;90;2.54;0.07;45900000;0.15,0.15,0.12,0.09,0.12,0.12,0.12,0.23,0.15,0.23,0.04,0.06;0.05;1,3;25
snowflake average;90;0;0;15200000;0.42,0.42,0.42,0.42,0.33,0.33,0.42,0.33,0.33,0.42,0.23,0.42;0.05;1,2;17
snowflake cloud service;90;5.29;0.41;32600000;0.19,0.26,0.42,0.34,0.42,0.26,0.80,0.42,0.15,0.11,0.03,0.26;0.1;1,2;48
snowflake compute;90;5.68;0.27;110;0.81,1.00,0.81,1.00,0.81,1.00,0.63,0.63,0.63,0.63,0.81,0.63;0.15;2,3;46
snowflake compute costs;90;12;0.21;124;0.12,0.05,0.06,0.09,0.12,0.09,0.23,0.23,0.15,0.04,0.04,0.19;0.35;1,3;30
snowflake cost optimization providers;90;0;0;2680000;0.50,1.00,1.00,0.64,0.35;0.05;1;13
snowflake cost optimization tools for enterprise;90;0;0;4750000;0.50,1.00,1.00,0.78,0.50,0.14;0.05;1;7
snowflake credit;90;12.53;0.04;19200000;0.23,0.33,0.33,0.23,0.33,0.23,0.80,0.80,0.66,0.42,0.33,0.52;0.25;1,2;54
snowflake difference;90;0;0.56;27300000;0.05,0.05,0.05,0.05,0.05,0.05,0.12,0.12,0.17,0.17,0.66,1.00;0.05;1;32
snowflake levels;90;0;0;102;0.11,0.11,1.00,0.11,0.64,1.00,1.00,0.64,0.41,0.41,0.41,0.29;0.05;2,3;31
snowflake price calculator;90;4.58;0.05;2670000;0.15,0.26,0.15,0.19,0.19,0.19,0.26,0.15,0.53,1.00,0.26,0.42;0.35;2,3;29
