Keyword;Search Volume;CPC;Competition;Number of Results;Trends;Related Relevance;Intent;Keyword Difficulty Index
data lake vs data warehouse;3600;1.17;0.31;132;0.54,0.44,0.54,0.44,0.44,0.44,0.44,0.44,0.54,0.44,0.54,0.35;0.05;1,0;56
snowflake data warehouse;2400;3.81;0.19;108;0.24,0.24,0.36,0.28,0.36,0.43,0.36,0.43,0.36,0.36,0.28,0.24;0.2;1;38
data warehouse vs data lake;1900;1.07;0.33;134;0.43,0.43,0.54,0.43,0.36,0.43,0.36,0.29,0.43,0.43,0.29,0.22;0.05;1,0;42
data lake vs warehouse;1600;1.17;0.31;151;0.30,0.66,0.79,1.00,0.66,0.79,0.54,0.54,0.79,0.79,0.41,0.66;0.05;1,0;48
data mart vs data warehouse;880;1.23;0.08;131;0.45,0.45,0.45,0.45,0.55,0.45,0.55,0.55,0.45,0.81,0.62,0.62;0.05;1,0;34
data marts;880;3.23;0.07;31800000;0.20,0.36,0.54,0.41,0.30,0.36,0.41,0.36,0.36,0.66,0.30,0.20;0.05;1;44
data lake versus data warehouse;720;1.17;0.31;123000000;0.24,0.55,0.76,0.67,0.55,1.00,0.67,0.10,0.45,0.36,0.30,0.45;0.05;1,0;46
gen2;720;4.75;0.04;171000000;0.15,0.07,0.10,0.10,0.08,0.10,0.10,0.10,0.10,0.10,0.08,0.15;0.05;1;38
snowflake scale up;720;0;0.04;108;0.00,0.18,0.35,0.18,0.18,0.35,0.18,0.00,0.18,0.00,0.00,0.00;0.2;1;25
warehouse data;720;4.87;0.15;523000000;0.16,0.31,0.46,0.52,0.25,0.31,0.25,0.68,0.31,0.52,0.37,0.31;0.05;1;47
data lake vs edw;590;1.17;0.31;128;0.03,0.02,1.00,0.02,0.07,0.10,0.00,0.00,0.00,0.00,0.00,0.00;0.05;1,0;46
what are data lakes;480;0.87;0.26;315000000;0.20,0.55,0.16,0.20,0.30,0.45,0.30,0.67,0.20,0.55,0.24,0.13;0.05;1;46
what is a data lakehouse;480;2.34;0.47;54;0.54,0.66,0.81,0.66,0.54,0.66,0.66,1.00,0.81,0.66,0.44,0.54;0.05;1;45
data lake definition;390;0.66;0.14;229000000;0.44,0.36,0.44,0.44,0.54,0.44,0.54,1.00,0.36,0.29,0.67,0.29;0.1;1;67
data lake vs data lakehouse;390;1.82;0.42;11100000;0.54,0.36,0.54,0.44,0.36,0.54,0.54,0.54,0.54,1.00,0.19,0.29;0.05;0;31
snowflake data lake;390;4;0.31;9620000;0.39,0.39,0.48,0.48,0.39,0.48,0.48,0.48,0.39,0.32,0.26,0.26;0.05;1;24
snowflake dwh;390;3.81;0.19;5430000;0.00,0.00,0.00,0.01,0.01,0.16,1.00,0.08,0.13,0.16,0.01,0.13;0.05;1;33
warehouse 2.0;390;0;0;48300000;0.28,0.44,0.44,0.66,1.00,1.00,0.28,1.00,0.66,0.81,0.81,0.81;0.05;1;16
warehouse number 2;390;0;0.03;702000000;0.23,0.36,0.44,0.67,0.44,0.44,0.67,1.00,0.36,0.44,0.36,0.36;0.05;1,3;27
create snowflake;320;0.08;0.23;124;0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00;0.05;1,2;32
data warehouse vs data mart;320;1.23;0.08;146;0.11,0.26,0.32,0.39,0.32,0.39,0.32,0.39,0.48,0.48,0.17,0.48;0.05;1,0;32
is snowflake a data warehouse;320;0;0.01;8210000;0.26,0.32,0.26,0.32,0.32,0.32,0.32,0.32,0.32,0.26,0.32,0.26;0.05;1;15
snowflake warehouse sizes;320;0;0.01;3280000;0.66,0.66,0.66,0.54,0.54,0.54,0.66,0.81,0.54,0.54,0.54,0.35;0.25;1;30
virtual warehouse;320;7.16;0.27;221000000;0.44,0.28,0.54,0.54,0.54,0.44,1.00,0.54,0.44,0.66,0.66,0.44;0.1;1;5
what is data mart;320;1.06;0.06;379000000;0.32,0.26,0.26,0.26,0.48,0.32,0.39,0.11,0.72,0.48,0.32,0.26;0.05;1;38
data lakes vs data warehouse;260;1.07;0.33;196;0.02,0.20,0.08,0.13,0.16,0.10,0.10,0.05,0.10,0.10,0.07,0.13;0.1;1,0;40
data lakes vs data warehouses;260;1.07;0.33;135;0.19,0.02,0.36,0.19,0.36,0.36,0.05,0.44,0.29,0.23,0.44,0.23;0.05;1,0;48
data mart vs data lake;260;1.83;0.09;187;0.66,0.66,0.29,0.43,0.43,0.29,0.66,0.66,0.54,0.35,0.54,1.00;0.05;1,0;24
interactive table;260;1.26;0.91;713000000;0.53,0.82,0.66,0.66,0.53,0.43,0.66,0.66,0.28,0.53,0.82,1.00;0.05;0;14
types of data warehouse;260;3.15;0.06;455000000;0.23,0.19,0.29,0.29,0.36,0.15,0.15,0.44,0.29,1.00,0.29,0.66;0.05;1;25
big data vs data warehouse;210;0;0.1;358000000;0.23,0.11,0.23,0.15,0.11,0.18,0.44,0.35,0.23,0.44,0.81,1.00;0.05;1,0;18
data ware house;210;4.87;0.15;602000000;0.02,0.05,0.01,0.88,1.00,0.02,0.01,0.01,0.01,0.72,0.03,0.00;0.05;1;47
data warehouse analytics;210;5.34;0.14;147;0.22,0.18,0.29,0.66,0.54,0.35,1.00,0.66,0.43,0.22,0.22,0.43;0.05;1;61
data warehouse snowflake;210;3.81;0.19;109;0.16,0.02,0.20,0.13,0.10,0.24,0.08,0.08,0.16,0.05,0.06,0.16;0.25;1;31
data warehouse vs data lake vs data lakehouse;210;3.53;0.39;131;0.43,0.35,0.43,0.43,0.43,0.43,0.54,0.54,0.18,1.00,0.18,0.81;0.05;1,0;38
large warehouse;210;2.11;0.12;559000000;1.00,1.00,1.00,0.80,1.00,0.65,1.00,0.80,0.65,0.53,0.80,0.80;0.05;1;5
rwd snowflake usage data warehouse;210;0;0;584000;1.00;0.05;1;14
snowflake cloud data warehouse;210;4.36;0.04;109;0.05,0.05,0.28,0.43,0.28,0.43,0.82,0.82,0.66,0.53,1.00,0.66;0.05;1;34
snowflake data warehousing;210;3.81;0.19;9400000;0.66,0.35,0.35,0.28,0.35,0.81,0.23,0.15,0.44,0.15,0.35,0.18;0.05;1;43
snowflake edw;210;3.81;0.19;3500000;1.00,0.16,0.16,0.16,0.13,0.03,0.03,0.00,0.00,0.01,0.30,0.00;0.1;1;34
web warehousing;210;0;0.02;133;0.43,0.66,0.28,1.00,0.82,0.82,0.35,0.00,0.00,0.00,0.66,0.66;0.05;1;27
big data data lake;170;13.9;0.04;871000000;0.28,0.23,0.53,0.43,0.43,0.43,0.53,0.35,1.00,0.43,0.35,0.17;0.05;1;42
big data lake;170;13.9;0.04;762000000;0.34,0.28,0.65,0.65,0.53,0.43,0.53,0.43,1.00,0.65,0.43,0.34;0.05;1;54
data lake vs data mart;170;1.83;0.09;121;0.34,0.53,0.65,0.65,0.42,0.42,1.00,0.80,0.65,0.53,0.34,1.00;0.05;1,0;25
data lake vs data warehouse vs data mart;170;1.61;0.22;3880000;0.21,0.17,0.14,0.32,0.21,0.14,0.14,0.17,0.17,0.11,0.26,0.09;0.05;1,0;27
